,0,1,2,3
0,신과함께-인과 연,6.8,6.3,"12,276,115"
1,어벤져스: 인피니티 워,7.6,7.3,"11,212,710"
2,보헤미안 랩소디,9.0,6.3,"9,948,386"
3,미션 임파서블: 폴아웃,8.1,7.7,"6,584,919"
4,신과함께-죄와 벌,7.0,6.0,"14,411,675"
5,쥬라기 월드: 폴른 킹덤,7.1,6.2,"5,661,128"
6,앤트맨과 와스프,7.4,6.2,"5,448,134"
7,안시성,7.7,6.4,"5,441,020"
8,블랙 팬서,6.1,6.9,"5,399,327"
9,완벽한 타인,7.5,6.6,"5,294,154"
10,1987,9.5,7.9,"7,232,387"
11,독전,6.5,5.5,"5,063,844"
12,공작,8.3,7.1,"4,975,362"
13,베놈,7.2,4.5,"3,887,973"
14,암수살인,7.5,7.5,"3,789,222"
15,데드풀 2,0.0,NA,"3,789,222"
16,국가부도의 날,8.1,6.5,"3,755,133"
17,코코,8.9,8.1,"3,513,114"
18,아쿠아맨,7.5,7.2,"5,038,138"
19,그것만이 내 세상,8.7,5.4,"3,419,753"
20,마녀,8.0,5.3,"3,189,091"
21,탐정: 리턴즈,7.4,5.6,"3,152,895"
22,인크레더블 2,8.0,7.3,"3,033,105"
23,서치,8.3,7.2,"2,950,097"
24,너의 결혼식,7.4,5.8,"2,820,685"
25,곤지암,4.9,6.2,"2,675,883"
26,지금 만나러 갑니다,7.9,5.8,"2,602,273"
27,목격자,5.5,5.0,"2,524,634"
28,조선명탐정: 흡혈괴마의 비밀,6.6,5.4,"2,444,145"
29,신비한 동물들과 그린델왈드의 범죄,5.9,5.4,"2,414,195"
30,메이즈 러너: 데스 큐어,7.1,5.0,"2,299,751"
31,맘마미아!2,7.8,6.6,"2,293,884"
32,레디 플레이어 원,7.9,8.2,"2,254,442"
33,명당,6.7,5.7,"2,086,418"
34,협상,7.1,5.5,"1,967,149"
35,마약왕,5.5,5.1,"1,864,077"
36,쥬만지: 새로운 세계,7.4,5.8,"1,711,270"
37,창궐,5.7,5.2,"1,599,598"
38,성난황소,6.4,5.1,"1,593,386"
39,도어락,6.3,6.1,"1,561,258"
40,리틀 포레스트,8.3,6.1,"1,506,911"
41,골든슬럼버,5.2,5.1,"1,387,562"
42,램페이지,6.7,5.0,"1,385,517"
43,궁합,6.5,4.1,"1,340,149"
44,오션스8,6.8,5.9,"1,335,839"
45,사라진 밤,6.9,5.0,"1,315,735"
46,스윙키즈,8.5,6.6,"1,472,932"
47,바람 바람 바람,6.1,5.1,"1,194,239"
48,PMC: 더 벙커,5.4,6.8,"1,671,548"
49,범블비,7.5,6.7,"1,561,643"
50,극한직업,7.4,NA,"16,264,864"
51,어벤져스: 엔드게임,7.8,NA,"13,934,587"
52,알라딘,8.4,NA,"12,518,950"
53,기생충,7.8,NA,"10,080,931"
54,엑시트,7.9,NA,"8,362,276"
55,스파이더맨: 파 프롬 홈,6.6,NA,"8,020,786"
56,캡틴 마블,6.3,NA,"5,801,070"
57,라이온 킹,7.4,NA,"4,742,374"
58,봉오동 전투,8.8,NA,"4,512,372"
59,토이 스토리 4,8.7,NA,"3,396,300"
60,돈,6.7,NA,"3,389,036"
61,악인전,7.5,NA,"3,364,360"
62,분노의 질주: 홉스&쇼,7.5,NA,"2,969,814"
63,말모이,9.0,6.5,"2,866,020"
64,증인,9.3,NA,"2,534,175"
65,사바하,7.2,NA,"2,398,519"
66,알리타: 배틀 엔젤,8.3,NA,"1,952,063"
67,내안의 그놈,7.7,5.0,"1,916,930"
68,뺑반,6.3,NA,"1,826,714"
69,주먹왕 랄프 2: 인터넷 속으로,7.6,NA,"1,758,891"
70,걸캅스,6.6,NA,"1,628,963"
71,사자,7.1,NA,"1,609,434"
72,아쿠아맨,7.5,7.2,"5,038,138"
73,드래곤 길들이기 3,8.4,NA,"1,506,965"
74,나의 특별한 형제,8.6,NA,"1,476,240"
75,어스,5.7,NA,"1,475,088"
76,생일,8.5,NA,"1,197,424"
77,항거:유관순 이야기,8.9,NA,"1,157,887"
78,마이펫의 이중생활 2,7.9,NA,"1,101,336"
79,롱 리브 더 킹: 목포 영웅,7.7,NA,"1,093,774"
80,존 윅 3: 파라벨룸,7.2,NA,"1,004,116"
81,나랏말싸미,4.5,NA,"953,979"
82,엑스맨: 다크 피닉스,6.5,NA,"862,633"
83,맨 인 블랙: 인터내셔널,5.3,NA,"851,040"
84,변신,7.4,NA,"769,642"
85,뽀로로 극장판 보물섬 대모험,7.4,NA,"766,758"
86,레드슈즈,9.1,NA,"763,058"
87,보헤미안 랩소디,8.9,6.3,"9,948,386"
88,명탐정 피카츄,7.1,NA,"686,811"
89,샤잠!,5.6,NA,"657,294"
90,극장판 헬로카봇: 옴파로스 섬의 비밀,7.3,NA,"575,353"
91,이스케이프 룸,6.7,NA,"563,114"
92,PMC: 더 벙커,5.3,6.8,"1,671,548"
93,애나벨 집으로,6.0,NA,"481,766"
94,글래스,6.5,NA,"466,575"
95,광대들: 풍문조작단,6.7,NA,"433,756"
96,그린 북,9.2,8.0,"433,980"
97,장난스런 키스,8.1,NA,"428,009"
98,해피 데스데이 2 유,6.5,NA,"412,850"
99,극장판 공룡메카드: 타이니소어의 섬,6.8,NA,"410,273"
